Ticker,close,date,high,low,month,open,volume,symbol
HDFCBANK,1555.4,2023-12-01_05-30-00,1565.75,1552.1,2023-12,1557.9,11076768,HDFCBANK
HDFCBANK,1609.4,2023-12-04_05-30-00,1612.0,1573.65,2023-12,1588.0,25331228,HDFCBANK
HDFCBANK,1623.7,2023-12-05_05-30-00,1639.0,1616.5,2023-12,1636.5,26115410,HDFCBANK
HDFCBANK,1627.8,2023-12-06_05-30-00,1638.45,1616.65,2023-12,1638.45,19306530,HDFCBANK
HDFCBANK,1630.45,2023-12-07_05-30-00,1634.0,1616.2,2023-12,1625.0,10225193,HDFCBANK
HDFCBANK,1653.2,2023-12-08_05-30-00,1655.0,1630.45,2023-12,1630.45,16864019,HDFCBANK
HDFCBANK,1651.0,2023-12-11_05-30-00,1663.7,1647.0,2023-12,1650.05,11593810,HDFCBANK
HDFCBANK,1634.6,2023-12-12_05-30-00,1656.25,1631.85,2023-12,1654.2,18290738,HDFCBANK
HDFCBANK,1630.9,2023-12-13_05-30-00,1636.0,1615.1,2023-12,1632.45,14673457,HDFCBANK
HDFCBANK,1650.15,2023-12-14_05-30-00,1658.95,1645.0,2023-12,1646.0,17586183,HDFCBANK
HDFCBANK,1656.55,2023-12-15_05-30-00,1668.0,1646.6,2023-12,1650.0,69418565,HDFCBANK
HDFCBANK,1655.7,2023-12-18_05-30-00,1664.7,1650.95,2023-12,1660.7,9007377,HDFCBANK
HDFCBANK,1652.9,2023-12-19_05-30-00,1658.65,1644.05,2023-12,1650.0,12004223,HDFCBANK
HDFCBANK,1657.0,2023-12-20_05-30-00,1668.95,1644.45,2023-12,1658.0,17116260,HDFCBANK
HDFCBANK,1686.7,2023-12-21_05-30-00,1689.75,1650.25,2023-12,1657.0,18294620,HDFCBANK
HDFCBANK,1670.85,2023-12-22_05-30-00,1685.9,1667.1,2023-12,1683.6,24289425,HDFCBANK
HDFCBANK,1682.45,2023-12-26_05-30-00,1685.95,1668.55,2023-12,1673.25,9022928,HDFCBANK
HDFCBANK,1703.3,2023-12-27_05-30-00,1706.5,1678.6,2023-12,1681.5,13504539,HDFCBANK
HDFCBANK,1705.25,2023-12-28_05-30-00,1721.4,1702.0,2023-12,1709.3,22038235,HDFCBANK
HDFCBANK,1709.25,2023-12-29_05-30-00,1714.9,1696.0,2023-12,1697.0,12505713,HDFCBANK
HDFCBANK,1698.1,2024-01-01_05-30-00,1709.15,1692.0,2024-01,1706.0,7119843,HDFCBANK
HDFCBANK,1699.1,2024-01-02_05-30-00,1702.8,1688.7,2024-01,1698.8,14621046,HDFCBANK
HDFCBANK,1672.9,2024-01-03_05-30-00,1704.7,1668.95,2024-01,1702.0,14194881,HDFCBANK
HDFCBANK,1690.85,2024-01-04_05-30-00,1694.95,1670.7,2024-01,1678.0,13367028,HDFCBANK
HDFCBANK,1682.2,2024-01-05_05-30-00,1704.9,1668.1,2024-01,1687.15,15944735,HDFCBANK
HDFCBANK,1663.45,2024-01-08_05-30-00,1682.35,1660.0,2024-01,1678.5,8999235,HDFCBANK
HDFCBANK,1650.5,2024-01-09_05-30-00,1677.8,1646.75,2024-01,1667.15,12663444,HDFCBANK
HDFCBANK,1655.95,2024-01-10_05-30-00,1659.95,1641.4,2024-01,1643.0,8057912,HDFCBANK
HDFCBANK,1649.0,2024-01-11_05-30-00,1662.9,1643.0,2024-01,1660.0,9157005,HDFCBANK
HDFCBANK,1641.2,2024-01-12_05-30-00,1656.0,1633.6,2024-01,1652.0,9886776,HDFCBANK
HDFCBANK,1672.8,2024-01-15_05-30-00,1680.9,1643.6,2024-01,1647.7,14160178,HDFCBANK
HDFCBANK,1679.15,2024-01-16_05-30-00,1683.65,1658.1,2024-01,1673.0,12661250,HDFCBANK
