Ticker,close,date,high,low,month,open,volume,symbol
TCS,3511.65,2023-12-01_05-30-00,3516.95,3490.05,2023-12,3500.0,1172141,TCS
TCS,3512.45,2023-12-04_05-30-00,3547.8,3498.0,2023-12,3544.65,1625213,TCS
TCS,3531.6,2023-12-05_05-30-00,3538.0,3502.8,2023-12,3538.0,1377656,TCS
TCS,3604.1,2023-12-06_05-30-00,3612.85,3525.15,2023-12,3532.6,1896572,TCS
TCS,3614.9,2023-12-07_05-30-00,3630.55,3591.7,2023-12,3605.0,1967653,TCS
TCS,3626.7,2023-12-08_05-30-00,3645.0,3602.05,2023-12,3633.0,1641155,TCS
TCS,3642.9,2023-12-11_05-30-00,3653.0,3615.0,2023-12,3622.9,1102503,TCS
TCS,3672.1,2023-12-12_05-30-00,3698.4,3631.0,2023-12,3638.95,2236866,TCS
TCS,3593.55,2023-12-13_05-30-00,3650.0,3563.0,2023-12,3643.55,3850968,TCS
TCS,3667.25,2023-12-14_05-30-00,3678.0,3627.6,2023-12,3630.0,3290396,TCS
TCS,3861.0,2023-12-15_05-30-00,3895.95,3666.7,2023-12,3666.7,8531230,TCS
TCS,3859.2,2023-12-18_05-30-00,3929.0,3830.15,2023-12,3858.1,2521612,TCS
TCS,3816.2,2023-12-19_05-30-00,3855.1,3790.0,2023-12,3845.0,2004435,TCS
TCS,3780.05,2023-12-20_05-30-00,3898.8,3766.55,2023-12,3827.25,2586083,TCS
TCS,3787.5,2023-12-21_05-30-00,3806.7,3743.35,2023-12,3756.25,1517562,TCS
TCS,3824.0,2023-12-22_05-30-00,3845.95,3762.0,2023-12,3800.0,2413058,TCS
TCS,3795.55,2023-12-26_05-30-00,3834.0,3790.15,2023-12,3819.85,1285231,TCS
TCS,3811.2,2023-12-27_05-30-00,3818.2,3768.0,2023-12,3799.0,1293976,TCS
TCS,3799.9,2023-12-28_05-30-00,3838.0,3792.1,2023-12,3824.0,1682889,TCS
TCS,3793.4,2023-12-29_05-30-00,3822.6,3765.4,2023-12,3792.0,1574996,TCS
TCS,3811.1,2024-01-01_05-30-00,3832.0,3773.0,2024-01,3790.0,825907,TCS
TCS,3783.2,2024-01-02_05-30-00,3811.1,3767.25,2024-01,3811.1,1344068,TCS
TCS,3691.75,2024-01-03_05-30-00,3771.85,3687.05,2024-01,3767.0,1803075,TCS
TCS,3666.8,2024-01-04_05-30-00,3719.0,3651.0,2024-01,3701.75,3598144,TCS
TCS,3737.9,2024-01-05_05-30-00,3747.75,3674.85,2024-01,3675.0,1963127,TCS
TCS,3678.3,2024-01-08_05-30-00,3739.75,3672.4,2024-01,3737.9,1067805,TCS
TCS,3689.9,2024-01-09_05-30-00,3752.35,3682.75,2024-01,3709.95,1370944,TCS
TCS,3713.05,2024-01-10_05-30-00,3729.25,3688.0,2024-01,3690.0,1292227,TCS
TCS,3735.55,2024-01-11_05-30-00,3773.0,3707.0,2024-01,3724.0,1777909,TCS
TCS,3882.8,2024-01-12_05-30-00,3905.25,3821.6,2024-01,3848.0,6813450,TCS
TCS,3903.8,2024-01-15_05-30-00,3965.0,3885.0,2024-01,3960.0,2801505,TCS
