Ticker,close,date,high,low,month,open,volume,symbol
NESTLEIND,2433.86,2023-12-01_05-30-00,2436.5,2415.64,2023-12,2433.99,636500,NESTLEIND
NESTLEIND,2440.28,2023-12-04_05-30-00,2453.5,2413.86,2023-12,2438.9,993920,NESTLEIND
NESTLEIND,2460.89,2023-12-05_05-30-00,2467.39,2440.28,2023-12,2445.1,671870,NESTLEIND
NESTLEIND,2496.85,2023-12-06_05-30-00,2509.69,2470.2,2023-12,2472.88,796080,NESTLEIND
NESTLEIND,2497.52,2023-12-07_05-30-00,2517.01,2481.33,2023-12,2496.85,600850,NESTLEIND
NESTLEIND,2478.96,2023-12-08_05-30-00,2517.57,2475.64,2023-12,2499.5,700760,NESTLEIND
NESTLEIND,2504.34,2023-12-11_05-30-00,2512.0,2463.9,2023-12,2488.0,539370,NESTLEIND
NESTLEIND,2494.72,2023-12-12_05-30-00,2524.07,2480.23,2023-12,2504.34,641230,NESTLEIND
NESTLEIND,2504.44,2023-12-13_05-30-00,2508.0,2482.5,2023-12,2495.84,445720,NESTLEIND
NESTLEIND,2479.33,2023-12-14_05-30-00,2514.4,2475.01,2023-12,2514.4,1047260,NESTLEIND
NESTLEIND,2436.64,2023-12-15_05-30-00,2495.22,2422.0,2023-12,2485.01,1595410,NESTLEIND
NESTLEIND,2435.43,2023-12-18_05-30-00,2458.06,2429.9,2023-12,2445.0,663240,NESTLEIND
NESTLEIND,2548.97,2023-12-19_05-30-00,2570.5,2451.09,2023-12,2456.98,3528660,NESTLEIND
NESTLEIND,2509.77,2023-12-20_05-30-00,2577.84,2505.52,2023-12,2569.4,1444880,NESTLEIND
NESTLEIND,2511.58,2023-12-21_05-30-00,2524.8,2490.77,2023-12,2509.77,1106380,NESTLEIND
NESTLEIND,2536.84,2023-12-22_05-30-00,2540.99,2510.0,2023-12,2524.0,888280,NESTLEIND
NESTLEIND,2556.21,2023-12-26_05-30-00,2560.0,2536.5,2023-12,2548.6,617850,NESTLEIND
NESTLEIND,2572.04,2023-12-27_05-30-00,2576.79,2558.05,2023-12,2560.0,714160,NESTLEIND
NESTLEIND,2624.99,2023-12-28_05-30-00,2637.4,2577.52,2023-12,2586.98,1577720,NESTLEIND
NESTLEIND,2658.03,2023-12-29_05-30-00,2665.0,2614.56,2023-12,2625.0,1034080,NESTLEIND
NESTLEIND,2737.24,2024-01-01_05-30-00,2744.52,2664.0,2024-01,2665.0,1316100,NESTLEIND
NESTLEIND,2722.31,2024-01-02_05-30-00,2769.3,2702.41,2024-01,2750.0,1415770,NESTLEIND
NESTLEIND,2663.52,2024-01-03_05-30-00,2741.73,2657.3,2024-01,2734.5,1013460,NESTLEIND
NESTLEIND,2711.64,2024-01-04_05-30-00,2715.01,2665.21,2024-01,2685.1,1323900,NESTLEIND
NESTLEIND,2666.4,2024-01-05_05-30-00,2754.0,2642.45,2024-01,2754.0,2577064,NESTLEIND
NESTLEIND,2619.3,2024-01-08_05-30-00,2689.0,2611.0,2024-01,2683.0,1032378,NESTLEIND
NESTLEIND,2592.6,2024-01-09_05-30-00,2640.3,2586.95,2024-01,2640.0,813027,NESTLEIND
NESTLEIND,2578.1,2024-01-10_05-30-00,2622.4,2570.45,2024-01,2590.0,1026468,NESTLEIND
NESTLEIND,2557.2,2024-01-11_05-30-00,2589.95,2550.1,2024-01,2580.0,775667,NESTLEIND
NESTLEIND,2549.6,2024-01-12_05-30-00,2559.95,2530.0,2024-01,2557.2,1107055,NESTLEIND
NESTLEIND,2547.55,2024-01-15_05-30-00,2576.15,2530.65,2024-01,2564.0,893834,NESTLEIND
NESTLEIND,2542.05,2024-01-16_05-30-00,2556.9,2531.35,2024-01,2556.9,693370,NESTLEIND
NESTLEIND,2543.1,2024-01-17_05-30-00,2557.15,2525.4,2024-01,2542.05,801619,NESTLEIND
NESTLEIND,2502.0,2024-01-18_05-30-00,2550.0,2496.15,2024-01,2535.0,634910,NESTLEIND
NESTLEIND,2514.15,2024-01-19_05-30-00,2521.9,2499.7,2024-01,2510.0,941391,NESTLEIND
NESTLEIND,2479.95,2024-01-20_05-30-00,2525.0,2470.8,2024-01,2520.0,445592,NESTLEIND
NESTLEIND,2462.9,2024-01-23_05-30-00,2498.2,2446.0,2024-01,2480.0,690538,NESTLEIND
NESTLEIND,2513.95,2024-01-24_05-30-00,2519.4,2455.0,2024-01,2477.9,659038,NESTLEIND
NESTLEIND,2482.15,2024-01-25_05-30-00,2528.0,2467.7,2024-01,2525.05,785773,NESTLEIND
NESTLEIND,2498.55,2024-01-29_05-30-00,2505.0,2476.6,2024-01,2482.15,632719,NESTLEIND
NESTLEIND,2492.05,2024-01-30_05-30-00,2531.15,2488.0,2024-01,2512.0,668034,NESTLEIND
NESTLEIND,2506.0,2024-01-31_05-30-00,2511.75,2481.7,2024-01,2509.0,716094,NESTLEIND
NESTLEIND,2467.8,2024-02-01_05-30-00,2510.9,2462.7,2024-02,2510.0,820566,NESTLEIND
NESTLEIND,2481.4,2024-02-02_05-30-00,2496.0,2463.05,2024-02,2468.0,754061,NESTLEIND
NESTLEIND,2462.7,2024-02-05_05-30-00,2505.0,2456.7,2024-02,2505.0,532977,NESTLEIND
NESTLEIND,2456.65,2024-02-06_05-30-00,2477.95,2445.75,2024-02,2462.35,770183,NESTLEIND
NESTLEIND,2499.6,2024-02-07_05-30-00,2511.55,2446.7,2024-02,2470.0,1547404,NESTLEIND
NESTLEIND,2423.05,2024-02-08_05-30-00,2513.85,2409.1,2024-02,2503.95,1654447,NESTLEIND
NESTLEIND,2450.1,2024-02-09_05-30-00,2465.9,2420.05,2024-02,2442.85,838819,NESTLEIND
NESTLEIND,2459.05,2024-02-12_05-30-00,2467.95,2439.3,2024-02,2459.75,445269,NESTLEIND
NESTLEIND,2457.35,2024-02-13_05-30-00,2476.6,2444.95,2024-02,2474.0,310985,NESTLEIND
NESTLEIND,2487.0,2024-02-14_05-30-00,2497.35,2435.05,2024-02,2450.0,509308,NESTLEIND
NESTLEIND,2453.55,2024-02-15_05-30-00,2495.0,2438.0,2024-02,2495.0,840476,NESTLEIND
NESTLEIND,2487.65,2024-02-16_05-30-00,2490.5,2448.6,2024-02,2457.05,746616,NESTLEIND
NESTLEIND,2513.25,2024-02-19_05-30-00,2525.5,2481.4,2024-02,2495.0,477520,NESTLEIND
NESTLEIND,2539.4,2024-02-20_05-30-00,2541.8,2497.1,2024-02,2519.0,631444,NESTLEIND
NESTLEIND,2543.6,2024-02-21_05-30-00,2551.0,2518.15,2024-02,2539.4,893182,NESTLEIND
NESTLEIND,2563.15,2024-02-22_05-30-00,2565.95,2525.0,2024-02,2560.0,752371,NESTLEIND
NESTLEIND,2579.0,2024-02-23_05-30-00,2583.0,2551.95,2024-02,2565.0,605619,NESTLEIND
NESTLEIND,2583.9,2024-02-26_05-30-00,2588.0,2566.75,2024-02,2588.0,661947,NESTLEIND
NESTLEIND,2598.7,2024-02-27_05-30-00,2601.45,2566.75,2024-02,2585.0,630872,NESTLEIND
NESTLEIND,2570.9,2024-02-28_05-30-00,2605.0,2560.25,2024-02,2601.0,492787,NESTLEIND
NESTLEIND,2596.2,2024-02-29_05-30-00,2606.2,2547.05,2024-02,2571.45,1387288,NESTLEIND
NESTLEIND,2601.45,2024-03-01_05-30-00,2616.55,2582.5,2024-03,2596.2,755728,NESTLEIND
NESTLEIND,2594.9,2024-03-02_05-30-00,2609.4,2585.4,2024-03,2601.45,25525,NESTLEIND
NESTLEIND,2589.1,2024-03-04_05-30-00,2601.1,2577.4,2024-03,2594.9,634310,NESTLEIND
NESTLEIND,2538.65,2024-03-05_05-30-00,2595.2,2532.0,2024-03,2590.0,339302,NESTLEIND
NESTLEIND,2533.05,2024-03-06_05-30-00,2566.75,2508.25,2024-03,2540.0,991640,NESTLEIND
